"Stability Rate by School
2024-25, Final Surveys 2 and 3",,,,,,
"Note: Distinct by District, School, Survey and FLEID.
The percent of students from the October membership who are still present in the February count membership.
*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,
District  #,District Name,School #,School Name,Fall Student Enrollment (October 2024),"Count of Students Still Enrolled in Spring
(February 2025)",Stability Rate 
11,COLLIER,0481,LAVERN GAYNOR ELEMENTARY,366,356,97.3%
11,COLLIER,0491,HERBERT CAMBRIDGE ELEMENTARY SCHOOL,283,274,96.8%
11,COLLIER,0493,PALMETTO RIDGE HIGH SCHOOL,"2,054","1,937",94.3%
11,COLLIER,0501,GOLDEN GATE HIGH SCHOOL,"1,867","1,750",93.7%
11,COLLIER,0511,ESTATES ELEMENTARY SCHOOL,"1,041","1,000",96.1%
11,COLLIER,0521,VETERANS MEMORIAL ELEMENTARY SCHOOL,721,696,96.5%
11,COLLIER,0531,MIKE DAVIS ELEMENTARY SCHOOL,655,624,95.3%
11,COLLIER,0541,PALMETTO ELEMENTARY SCHOOL,645,604,93.6%
11,COLLIER,0551,PARKSIDE ELEMENTARY SCHOOL,589,561,95.2%
11,COLLIER,0631,EDEN PARK ELEMENTARY SCHOOL,646,625,96.7%
11,COLLIER,0641,AUBREY ROGERS HIGH SCHOOL,"1,496","1,425",95.3%
11,COLLIER,9004,IMMOKALEE TEEN PARENTING PROG,40,30,75.0%
11,COLLIER,9007,NEW BEGINNINGS IMMOKALEE,30,30,100.0%
11,COLLIER,9008,NAPLES AREA TEENAGE PARENTING,29,22,75.9%
11,COLLIER,9010,NEW BEGINNINGS - NAPLES,37,34,91.9%
11,COLLIER,9013,COLLIER JUVENILE DETENTION CENTER,16,1,6.3%
11,COLLIER,9015,THE PHOENIX PROGRAM NAPLES,129,66,51.2%
11,COLLIER,9017,THE PACE PROGRAM,54,41,75.9%
11,COLLIER,9018,MARCO ISLAND CHARTER MIDDLE,277,270,97.5%
11,COLLIER,9021,RCMA IMMOKALEE COMMUNITY ACADEMY,335,332,99.1%
11,COLLIER,9026,THE PHOENIX PROGRAM-IMMOKALEE,97,45,46.4%
11,COLLIER,9027,BEACON HIGH SCHOOL,214,133,62.1%
11,COLLIER,9032,MARCO ISLAND ACADEMY,298,281,94.3%
11,COLLIER,9034,GULF COAST CHARTER ACADEMY SOUTH,681,658,96.6%
11,COLLIER,9035,MASON CLASSICAL ACADEMY,"1,509","1,469",97.3%
11,COLLIER,9036,COLLIER CHARTER ACADEMY,580,543,93.6%
11,COLLIER,9037,BRIDGEPREP ACADEMY COLLIER,261,217,83.1%
11,COLLIER,9039,NAPLES CLASSICAL ACADEMY,846,807,95.4%
11,COLLIER,9040,OPTIMA CLASSICAL ACADEMY,100,53,53.0%
12,COLUMBIA,0011,COLUMBIA HIGH SCHOOL,"1,711","1,605",93.8%
12,COLUMBIA,0031,RICHARDSON SIXTH GRADE ACADEMY,455,420,92.3%
12,COLUMBIA,0071,MELROSE PARK ELEMENTARY SCHOOL,635,597,94.0%
12,COLUMBIA,0081,EASTSIDE ELEMENTARY SCHOOL,655,621,94.8%
12,COLUMBIA,0091,FIVE POINTS ELEMENTARY SCHOOL,349,322,92.3%
12,COLUMBIA,0121,FORT WHITE ELEMENTARY SCHOOL,644,617,95.8%
12,COLUMBIA,0123,FORT WHITE HIGH SCHOOL,"1,101","1,042",94.6%
12,COLUMBIA,0141,SUMMERS ELEMENTARY SCHOOL,492,460,93.5%
12,COLUMBIA,0221,PATHWAYS ACADEMY,94,64,68.1%
12,COLUMBIA,0241,LAKE CITY MIDDLE SCHOOL,809,759,93.8%
12,COLUMBIA,0261,COLUMBIA CITY ELEMENTARY SCHOOL,585,560,95.7%
12,COLUMBIA,0271,WESTSIDE ELEMENTARY SCHOOL,695,666,95.8%
12,COLUMBIA,0291,PINEMOUNT ELEMENTARY SCHOOL,448,426,95.1%
12,COLUMBIA,0402,BELMONT ACADEMY,828,809,97.7%
12,COLUMBIA,8001,PREK ESE,*,*,*
13,MIAMI-DADE,0026,BRIDGE PREP ACADEMY OF MIAMI GARDENS,115,103,89.6%
13,MIAMI-DADE,0041,AIR BASE K-8 CENTER FOR INTERNATIONAL EDUCATION,"1,131","1,122",99.2%
13,MIAMI-DADE,0070,CORAL REEF MONTESSORI ACADEMY CHARTER SCHOOL,521,505,96.9%
13,MIAMI-DADE,0071,EUGENIA B. THOMAS K-8 CENTER,861,823,95.6%
13,MIAMI-DADE,0072,SUMMERVILLE ADVANTAGE ACADEMY,420,405,96.4%
13,MIAMI-DADE,0073,MANDARIN LAKES K-8 ACADEMY,643,563,87.6%
