"Stability Rate by School
2024-25, Final Surveys 2 and 3",,,,,,
"Note: Distinct by District, School, Survey and FLEID.
The percent of students from the October membership who are still present in the February count membership.
*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,
District  #,District Name,School #,School Name,Fall Student Enrollment (October 2024),"Count of Students Still Enrolled in Spring
(February 2025)",Stability Rate 
10,CLAY,0551,FLEMING ISLAND HIGH SCHOOL,"1,765","1,708",96.8%
10,CLAY,0571,SWIMMING PEN CREEK ELEMENTARY SCHOOL,496,462,93.1%
10,CLAY,0591,ARGYLE ELEMENTARY SCHOOL,722,699,96.8%
10,CLAY,0601,COPPERGATE ELEMENTARY SCHOOL,587,555,94.5%
10,CLAY,0611,OAKLEAF JUNIOR HIGH,906,861,95.0%
10,CLAY,0621,OAKLEAF VILLAGE ELEMENTARY SCHOOL,"1,022",987,96.6%
10,CLAY,0631,SHADOWLAWN ELEMENTARY SCHOOL,695,671,96.5%
10,CLAY,0641,DISCOVERY OAKS ELEMENTARY,915,882,96.4%
10,CLAY,0651,PLANTATION OAKS ELEMENTARY SCHOOL,915,858,93.8%
10,CLAY,0661,OAKLEAF HIGH SCHOOL,"2,307","2,230",96.7%
10,CLAY,0663,FLORIDA CYBER CHARTER ACADEMY AT CLAY,310,275,88.7%
10,CLAY,0664,CLAY CHARTER ACADEMY,693,639,92.2%
10,CLAY,0667,ST JOHNS CLASSICAL ACADEMY,978,933,95.4%
10,CLAY,0671,SPRING PARK ELEMENTARY,698,662,94.8%
10,CLAY,0677,ST. JOHNS CLASSICAL ACADEMY ORANGE PARK,405,382,94.3%
10,CLAY,7004,CLAY VIRTUAL FRANCHISE,107,95,88.8%
11,COLLIER,0051,EVERGLADES CITY SCHOOL,136,133,97.8%
11,COLLIER,0061,GULFVIEW MIDDLE SCHOOL,556,539,96.9%
11,COLLIER,0121,LAKE PARK ELEMENTARY SCHOOL,475,463,97.5%
11,COLLIER,0131,TOMMIE BARFIELD ELEMENTARY SCHOOL,474,462,97.5%
11,COLLIER,0141,SHADOWLAWN ELEMENTARY SCHOOL,470,439,93.4%
11,COLLIER,0151,NAPLES HIGH SCHOOL,"1,535","1,434",93.4%
11,COLLIER,0161,PINECREST ELEMENTARY SCHOOL,584,561,96.1%
11,COLLIER,0171,SEA GATE ELEMENTARY SCHOOL,668,647,96.9%
11,COLLIER,0181,HIGHLANDS ELEMENTARY SCHOOL,599,573,95.7%
11,COLLIER,0191,LAKE TRAFFORD ELEMENTARY SCHOOL,717,680,94.8%
11,COLLIER,0201,AVALON ELEMENTARY SCHOOL,363,337,92.8%
11,COLLIER,0211,EAST NAPLES MIDDLE SCHOOL,875,835,95.4%
11,COLLIER,0221,POINCIANA ELEMENTARY SCHOOL,468,447,95.5%
11,COLLIER,0231,GOLDEN GATE ELEMENTARY SCHOOL,528,507,96.0%
11,COLLIER,0241,NAPLES PARK ELEMENTARY SCHOOL,384,370,96.4%
11,COLLIER,0251,PINE RIDGE MIDDLE SCHOOL,791,772,97.6%
11,COLLIER,0261,LELY HIGH SCHOOL,"1,475","1,363",92.4%
11,COLLIER,0271,IMMOKALEE HIGH SCHOOL,"1,990","1,902",95.6%
11,COLLIER,0282,LORENZO WALKER TECHNICAL HIGH SCHOOL,588,583,99.1%
11,COLLIER,0311,BARRON COLLIER HIGH SCHOOL,"1,472","1,425",96.8%
11,COLLIER,0321,GOLDEN GATE MIDDLE SCHOOL,"1,039",990,95.3%
11,COLLIER,0331,BIG CYPRESS ELEMENTARY SCHOOL,796,770,96.7%
11,COLLIER,0341,VILLAGE OAKS ELEMENTARY SCHOOL,511,485,94.9%
11,COLLIER,0351,GOLDEN TERRACE ELEMENTARY SCHOOL,484,465,96.1%
11,COLLIER,0361,IMMOKALEE MIDDLE SCHOOL,"1,402","1,342",95.7%
11,COLLIER,0371,VINEYARDS ELEMENTARY SCHOOL,800,786,98.3%
11,COLLIER,0381,LELY ELEMENTARY SCHOOL,499,473,94.8%
11,COLLIER,0391,LAUREL OAK ELEMENTARY SCHOOL,"1,069","1,044",97.7%
11,COLLIER,0392,GULF COAST HIGH SCHOOL,"1,714","1,644",95.9%
11,COLLIER,0401,OAKRIDGE MIDDLE SCHOOL,"1,172","1,131",96.5%
11,COLLIER,0421,MANATEE ELEMENTARY SCHOOL,564,536,95.0%
11,COLLIER,0422,MANATEE MIDDLE SCHOOL,781,749,95.9%
11,COLLIER,0431,PELICAN MARSH ELEMENTARY SCHOOL,677,653,96.5%
11,COLLIER,0441,CORKSCREW ELEMENTARY SCHOOL,908,877,96.6%
11,COLLIER,0442,CORKSCREW MIDDLE SCHOOL,"1,013",987,97.4%
11,COLLIER,0451,OSCEOLA ELEMENTARY SCHOOL,572,556,97.2%
11,COLLIER,0452,NORTH NAPLES MIDDLE SCHOOL,909,888,97.7%
11,COLLIER,0461,CALUSA PARK ELEMENTARY SCHOOL,670,627,93.6%
11,COLLIER,0471,SABAL PALM ELEMENTARY SCHOOL,792,758,95.7%
11,COLLIER,0472,CYPRESS PALM MIDDLE SCHOOL,836,810,96.9%
